zcta,pop_estimate,black,blackz,poverty,povertyz,boro,arrests,pop_estimate_2010,blackz_2010,povertyz_2010,weighted_median_non_home_dwell_time,weighted_median_non_home_dwell_timez,complaintsSD,complaintsSD_rate,complaintsSD_rate_2010,complaintsSD_ratez,complaintsSD_ratez_2010,summons,sqf,sqfrate,sqfratez
10001,22924,6.16,-0.6268648789862182,12.4,-0.28259181712638015,Manhattan,24,21102,-0.4343968923600687,0.06077333433285457,134.0989103,2.7360979371357725,240,1046.9377072064212,0.011373329542223486,1.4262286094809593,1.4820005231725708,0,5108,24206.236375698987,2.710003674636394
10002,74993,8.38,-0.5374437683575467,23.36,1.0515012371902934,Manhattan,61,81410,-0.5824235238324015,0.8978908750742695,19.4598819,-0.23064156734908373,498,664.061979118051,0.006117184621053925,0.32414801594434045,0.08745129418327999,1,5218,6409.53199852598,-0.21641669093165836
10003,54682,5.81,-0.6409628018330809,9.07,-0.6879321338120118,Manhattan,26,56024,-0.7007530355567461,-0.8061157619430737,155.0881848,3.279278655768125,391,715.043341501774,0.006979151792089105,0.47089424714495304,0.3161465968831373,2,2918,5208.482079108953,-0.41391263567264613
10004,3028,1.68,-0.8073182914260596,2.36,-1.504698958124501,Manhattan,1,3089,-0.787337458335361,-0.9673660720612786,NA,NA,57,1882.4306472919418,0.018452573648429914,3.8311357053222053,3.3602505634968827,0,607,19650.37228876659,1.9608552275868452
10005,8831,2.5,-0.7742888721848387,11,-0.4530051634806998,Manhattan,2,7135,-0.7342674304843837,-0.7980822613599144,66.45629646,0.9855770415335026,39,441.62608991054236,0.005466012613875262,-0.31611789494431286,-0.08531628246648071,0,62,868.9558514365801,-1.1274873324499832
10006,3454,1.04,-0.833097350346037,5.49,-1.123703405203772,Manhattan,1,3011,-0.7547144666288264,-0.9929379956652249,95.56591484,1.738903862370589,17,492.1829762594094,0.005645964795748921,-0.1705934878660383,-0.03757175101794323,0,277,9199.601461308535,0.24237140399838591
10007,7023,4.73,-0.6844649637605426,2.72,-1.4608783833476757,Manhattan,10,6988,-0.6065603621209924,-1.5172272134591513,70.37689004,1.0870379490198374,100,1423.8929232521714,0.014310246136233544,2.511267429545676,2.2612170084880554,7,1296,18546.078992558672,1.7792695630113196
10009,57925,9.38,-0.4971639887950821,21.39,0.8117053141060009,Manhattan,34,61347,-0.6154433159392426,0.2384818104904331,43.47853736,0.3909363977847597,612,1056.5386275356063,0.00997603794806592,1.453864176843025,1.1112740792616476,4,3098,5049.961693318337,-0.43997910705430165
10010,33730,5.29,-0.6619082872055624,12.68,-0.2485091478555163,Manhattan,21,31834,-0.6277075471303669,-0.4788975338392372,135.1299129,2.762779218243408,164,486.2140527720131,0.005151724571213169,-0.1877746102438091,-0.16870251974653097,1,694,2180.059056354841,-0.9118946564736563
10011,50472,5.59,-0.649824353336823,10.29,-0.5394290748461049,Manhattan,32,50984,-0.731561792353691,-0.9398786909679597,154.4951015,3.263930273283402,312,618.1645268663814,0.006119566922956222,0.19203545902701122,0.08808336147421167,0,2832,5554.683822375648,-0.3569845769366527
