"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US3610518","ZCTA5 10518, New York","1268"
"8710000US3610519","ZCTA5 10519, New York","316"
"8710000US3610520","ZCTA5 10520, New York","12810"
"8710000US3610522","ZCTA5 10522, New York","10875"
"8710000US3610523","ZCTA5 10523, New York","7444"
"8710000US3610524","ZCTA5 10524, New York","4421"
"8710000US3610526","ZCTA5 10526, New York","1809"
"8710000US3610527","ZCTA5 10527, New York","908"
"8710000US3610528","ZCTA5 10528, New York","12280"
"8710000US3610530","ZCTA5 10530, New York","12604"
"8710000US3610532","ZCTA5 10532, New York","4931"
"8710000US3610533","ZCTA5 10533, New York","7322"
"8710000US3610535","ZCTA5 10535, New York","555"
"8710000US3610536","ZCTA5 10536, New York","10739"
"8710000US3610537","ZCTA5 10537, New York","2416"
"8710000US3610538","ZCTA5 10538, New York","16597"
"8710000US3610541","ZCTA5 10541, New York","26339"
"8710000US3610543","ZCTA5 10543, New York","20135"
"8710000US3610545","ZCTA5 10545, New York","141"
"8710000US3610546","ZCTA5 10546, New York","1277"
"8710000US3610547","ZCTA5 10547, New York","7647"
"8710000US3610548","ZCTA5 10548, New York","3487"
"8710000US3610549","ZCTA5 10549, New York","16638"
"8710000US3610550","ZCTA5 10550, New York","37144"
"8710000US3610552","ZCTA5 10552, New York","19786"
"8710000US3610553","ZCTA5 10553, New York","10170"
"8710000US3610560","ZCTA5 10560, New York","4737"
"8710000US3610562","ZCTA5 10562, New York","31796"
"8710000US3610566","ZCTA5 10566, New York","23570"
"8710000US3610567","ZCTA5 10567, New York","19929"
"8710000US3610570","ZCTA5 10570, New York","12680"
"8710000US3610573","ZCTA5 10573, New York","38352"
"8710000US3610576","ZCTA5 10576, New York","5116"
"8710000US3610577","ZCTA5 10577, New York","6552"
"8710000US3610578","ZCTA5 10578, New York","681"
"8710000US3610579","ZCTA5 10579, New York","8675"
"8710000US3610580","ZCTA5 10580, New York","17208"
"8710000US3610583","ZCTA5 10583, New York","38982"
"8710000US3610588","ZCTA5 10588, New York","2282"
"8710000US3610589","ZCTA5 10589, New York","8475"
"8710000US3610590","ZCTA5 10590, New York","6767"
"8710000US3610591","ZCTA5 10591, New York","22540"
"8710000US3610594","ZCTA5 10594, New York","5117"
"8710000US3610595","ZCTA5 10595, New York","8195"
"8710000US3610596","ZCTA5 10596, New York","1729"
"8710000US3610597","ZCTA5 10597, New York","968"
"8710000US3610598","ZCTA5 10598, New York","28647"
"8710000US3610601","ZCTA5 10601, New York","11376"
"8710000US3610603","ZCTA5 10603, New York","17045"
"8710000US3610604","ZCTA5 10604, New York","11250"
"8710000US3610605","ZCTA5 10605, New York","18126"
"8710000US3610606","ZCTA5 10606, New York","16499"
"8710000US3610607","ZCTA5 10607, New York","6824"
"8710000US3610701","ZCTA5 10701, New York","63393"
"8710000US3610703","ZCTA5 10703, New York","20301"
"8710000US3610704","ZCTA5 10704, New York","30165"
"8710000US3610705","ZCTA5 10705, New York","38777"
"8710000US3610706","ZCTA5 10706, New York","8679"
